muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
 0.843621, 1.32912, 165.056, -0.543796, 1.39638, 170.193, 2.96785, 1.85831, 11.3839, -2.45898, -2.84208, -1000
 2.52431, 0.49009, 28.5271, 0.623485, 0.836616, 81.581, 2.89485, 0.983665, 10.0602, 1.87664, -0.0897714, 23.2805
 -1.76476, -1.9813, 153.663, 1.82794, -0.852141, 126.351, -0.433092, 0.477584, 10.5627, -0.0319829, -1.0466, 48.9694
 1.4906, 0.823272, 52.056, -1.60571, -1.35169, 153.133, -2.0162, -0.71945, 11.4403, 3.11384, -2.60621, -1000
 -2.17805, 0.526157, 63.0744, -0.783391, 0.839168, 139.753, 1.0506, -0.637557, 10.2891, 2.96782, -1.41378, -1000
 0.505838, -0.544063, 47.9298, -0.160713, 1.02559, 77.1621, -2.81851, 1.08326, 10.7565, -2.95035, -2.70386, 39.9157
 -0.315358, -0.137205, 38.8814, 2.48967, -0.452949, 31.0848, -0.66476, -0.81357, 11.2905, 1.6364, -0.420898, 47.8243
 -2.14177, 1.38886, 81.4875, -1.54074, 1.33124, 70.9419, 2.62648, 1.39886, 10.5471, -0.630961, -2.71133, 51.1602
 -3.06496, -1.45187, 52.81, 2.54868, 0.731478, 57.746, -0.685393, 1.06297, 10.1734, -2.21233, 0.732557, -1000
 -1.75468, -0.882906, 64.8665, -0.982737, -1.41241, 62.0376, 2.00261, -1.55176, 17.2288, 2.4865, -2.90852, 39.9701
 0.675977, -1.30473, 49.7453, 1.39658, -1.2849, 173.411, -2.04712, -0.609555, 10.7331, -1.28242, -2.63416, -1000
 -0.095302, 0.22795, 33.5026, -0.376494, -0.633494, 123.497, 0.944215, -1.00881, 10.9482, -3.07353, 2.54504, 43.6769
 2.63462, 0.146194, 52.8283, 0.443833, -0.350051, 114.907, 2.96663, 1.75579, 10.6831, -0.12391, 1.89765, 39.5426
 -0.122767, 0.950744, 48.1131, 2.87256, -0.770677, 61.3415, 1.76115, 2.22613, 12.161, 0.188608, 2.82462, 28.7416
 2.59251, 1.0248, 81.9506, -0.296399, 2.32194, 148.788, -2.81194, 1.49845, 12.0398, -1.05842, 2.32857, 61.5888
 2.43791, 2.00368, 54.8024, 2.52433, 0.415763, 131.372, -1.20499, 0.1007, 11.8207, -0.020211, -2.04375, -1000
 1.48112, -1.62624, 44.3182, -1.86854, -0.989089, 34.9772, -0.858201, -1.6945, 10.4182, 2.68921, -0.319379, -1000
 -0.247614, 1.72527, 38.2923, 2.17757, 0.0387277, 88.396, -1.65116, 0.57105, 10.3307, 1.49584, -1.80465, 37.2532
 2.90881, 0.00843212, 146.392, -1.1847, 0.314428, 62.7923, 0.333011, 0.410509, 10.8737, 0.173154, 2.69272, 77.7296
 2.17948, 1.97649, 42.0754, -0.902033, 2.08192, 72.647, -1.4487, 0.1994, 10.0256, 1.57706, 1.54721, -1000
 0.351931, 2.30617, 42.3383, 2.00018, -0.196209, 144.437, -0.725985, 0.47944, 12.6734, 1.86949, 2.71672, -1000
 2.72421, -0.282207, 100.902, -1.06027, 1.61254, 107.82, 1.90227, 0.38076, 10.7177, 2.68747, 2.95111, 35.2286
 0.210029, 1.16871, 43.3661, 3.07122, 0.686899, 169.537, 2.4644, 1.98021, 10.2544, 0.7934, 2.59108, -1000
